word,count,avg_rate
10,2,5
9,11,3
aabb,2,1
aagi,5,4
abacate,4,3
abacaxi,4,3
abadar,2,1
abafar,1,5
abaixar,17,3
abajur,2,2
abalar,2,5
abalroar,1,5
abanar,7,1
abanderado,6,4
abandon,1,5
abandonar,18,5
abans,1,2
abanã,1,4
abar,1,1
abastecer,6,3
abastecimento,8,3
abat,2,4
abater,19,4
abav,8,4
abcd,1,3
abdeslam,3,5
abdominal,48,2
abdómen,14,2
abel,8,1
abelhar,1,3
abençoar,18,2
abercrombie,36,3
aberto,225,4
abertura,45,5
abhuyanga,5,2
abismar,1,5
aboborar,4,2
abolir,1,4
abonar,4,5
abono,2,5
abordagem,4,3
abordaje,1,3
abordar,6,5
aborrecer,14,3
aborrecido,10,3
abortar,4,5
aborto,2,4
aboubakar,1,5
about,3,4
above,7,2
abrafim,1,3
abrandamento,1,3
abrandar,2,5
abranger,2,5
abrasip,3,4
abraçar,5,4
abreu,200,3
abrigar,28,3
abrigo,1,3
abril,550,4
abrir,359,4
abrã,1,4
abscesso,1,2
absolut,11,3
absolutamente,5,5
absolute,1,2
absoluto,15,5
absolver,2,5
absorvente,1,3
absorção,6,1
abstenção,3,5
absurdo,2,2
abund,4,4
abusar,6,5
abusivo,2,5
abuso,10,5
abutment,6,1
abóbora,6,3
acabado,2,4
acabamento,9,2
acabar,176,4
academiahotnews,2,3
academiar,257,3
academy,116,5
académico,3,4
acai,2,1
acalmar,3,5
acalorar,1,4
acampamento,3,4
acampar,3,5
acao,1,1
acarajé,8,1
acaso,4,4
accent,1,2
accenture,1,4
accept,5,1
acceso,1,5
accesorio,2,5
accesorios,1,4
accessories,2,5
accessory,1,4
accionista,1,5
accompaniment,1,5
accor,3,1
according,1,4
account,34,4
acebolado,14,2
aceder,10,4
aceitar,112,2
aceito,12,5
aceitável,1,5
acejf,4,3
aceler,2,5
acelerador,2,5
acelerar,21,4
aceleração,1,5
acenar,1,5
acendedor,2,2
acender,1,5
acentuar,4,5
acepi,2,3
acer,10,3
acertar,40,3
acerto,10,1
aces,3,4
aceso,1,5
acessar,1,3
acesse,34,2
acessivel,8,4
acesso,274,4
acessorios,32,1
acessã,2,4
acessível,4,3
acessório,269,2
acetona,4,1
acfa,8,5
achadinhos,1,1
achar,97,4
achat,22,5
achetez,2,5
achocolatar,2,1
achyuta,7,3
acidar,1,3
acidental,2,5
acidentalmente,1,3
acidentar,28,5
acidente,6,4
acima,117,3
acimm,4,1
aciona,2,5
acionamento,1,5
acionistas,5,5
acis,8,2
aclamar,1,5
aclinicaonline,1,4
aclínicaonline,2,5
acne,134,1
acolchoar,1,3
acolhedor,3,4
acolher,7,5
acolherar,2,5
acolhido,2,5
acolhimento,4,2
acomac,47,5
acompanhamento,71,3
acompanhante,23,3
acompanhar,112,3
acompá,1,5
aconchegante,4,3
aconchegar,5,3
aconselhamento,2,3
acontecer,142,3
