country,language
portugal,pt
portugal,pt
united_kingdom,en
france,pt
portugal,fr
portugal,en
portugal,pt
espanha,fr
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
brasil,pt
portugal,pt
portugal,pt
portugal,pt
brasil,pt
germany,de
portugal,ro
portugal,pt
portugal,pt
portugal,pt
brasil,pt
portugal,pt
portugal,pt
brasil,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,no
portugal,fr
portugal,en
portugal,pt
brasil,pt
portugal,pt
portugal,nl
portugal,pt
portugal,pt
portugal,ca
brasil,de
portugal,pt
portugal,pt
portugal,pt
brasil,pt
portugal,pt
brasil,it
portugal,pt
portugal,es
portugal,pt
portugal,pt
portugal,pt
brasil,pt
brasil,pt
portugal,pt
portugal,pt
brasil,pt
portugal,pt
portugal,pt
brasil,pt
portugal,pt
brasil,pt
portugal,pt
portugal,pt
brasil,pt
portugal,ca
portugal,pt
portugal,pt
portugal,pt
portugal,pt
colombia,es
portugal,pt
portugal,pt
brasil,pt
portugal,pt
brasil,pt
brasil,en
portugal,pt
portugal,pt
portugal,pt
brasil,pt
portugal,pt
portugal,pt
portugal,pt
brasil,pt
portugal,hu
brasil,pt
portugal,pt
brasil,pt
portugal,pt
portugal,pt
portugal,en
brasil,de
portugal,pt
portugal,pt
portugal,pt
portugal,es
brasil,pt
portugal,pt
portugal,es
portugal,pt
portugal,pt
portugal,pt
portugal,pt
brasil,pt
colombia,es
portugal,pt
portugal,pt
brasil,pt
portugal,pt
portugal,en
portugal,pt
portugal,pt
portugal,pt
brasil,pt
brasil,pt
portugal,ca
portugal,pt
portugal,es
portugal,pt
portugal,pt
brasil,pt
brasil,pt
portugal,pt
portugal,pt
brasil,pt
brasil,pt
portugal,pt
brasil,de
portugal,pt
brasil,pt
portugal,pt
portugal,pt
portugal,pt
portugal,es
portugal,pt
portugal,pt
portugal,pt
portugal,pt
brasil,pt
portugal,es
brasil,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,es
portugal,en
portugal,it
peru,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,es
brasil,pt
brasil,pt
portugal,en
portugal,es
portugal,pt
portugal,es
portugal,pt
portugal,pt
brasil,pt
portugal,en
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
brasil,pt
portugal,pt
portugal,pt
espanha,en
brasil,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
brasil,en
portugal,pt
portugal,pt
portugal,pt
portugal,pt
brasil,pt
portugal,pt
brasil,ca
portugal,pt
portugal,pt
brasil,pt
brasil,pt
portugal,pt
portugal,pt
brasil,pt
portugal,pt
portugal,pt
portugal,no
brasil,pt
portugal,pt
portugal,pt
brasil,pt
brasil,pt
portugal,pt
portugal,pt
portugal,pt
brasil,de
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
brasil,pt
portugal,pt
portugal,pt
portugal,pt
portugal,es
portugal,es
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,ca
portugal,pt
portugal,pt
portugal,pt
brasil,pt
portugal,pt
portugal,pt
brasil,pt
portugal,pt
brasil,pt
portugal,pt
portugal,pt
portugal,en
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
brasil,pt
brasil,pt
brasil,en
brasil,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,en
brasil,es
brasil,es
portugal,pt
brasil,pt
portugal,pt
portugal,es
brasil,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
brasil,pt
portugal,es
portugal,pt
portugal,pt
brasil,pt
portugal,pt
portugal,es
portugal,pt
brasil,pt
brasil,en
portugal,pt
portugal,pt
portugal,pt
portugal,es
portugal,pt
portugal,pt
brasil,it
portugal,pt
portugal,pt
brasil,pt
portugal,pt
brasil,pt
portugal,de
portugal,pt
portugal,pt
brasil,pt
portugal,es
portugal,pt
portugal,pt
portugal,pt
portugal,pt
brasil,pt
portugal,pt
portugal,pt
portugal,es
portugal,pt
portugal,pt
peru,ca
brasil,pt
portugal,pt
brasil,pt
portugal,pt
portugal,pt
portugal,ro
portugal,pt
brasil,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
united_states_of_america,en
portugal,pt
portugal,en
portugal,pt
brasil,pt
portugal,pt
portugal,pt
portugal,es
brasil,pt
portugal,pt
brasil,pt
brasil,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,hu
portugal,de
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
brasil,pt
brasil,pt
portugal,pt
portugal,en
brasil,pt
brasil,pt
portugal,pt
brasil,pt
portugal,pt
portugal,pt
brasil,pt
brasil,pt
portugal,pt
portugal,fr
portugal,pt
brasil,pt
portugal,pt
portugal,pt
portugal,pt
portugal,pt
